method, threads, time
pthread, 2, 940.000000
pthread, 4, 755.000000
pthread, 6, 909.000000
pthread, 8, 1525.000000
pthread, 12, 1363.000000
pthread, 16, 1044.000000
cilk, 2, 708.000000
cilk, 4, 709.000000
cilk, 6, 725.000000
cilk, 8, 1952.000000
cilk, 12, 972.000000
cilk, 16, 1917.000000
